size,mean,std
750,639.8666666666667,568.9557530150204
750,651.8,570.8182080721206
750,627.6,524.9935618652861
750,702.8666666666667,618.1761740978232
750,654.3333333333334,557.2413201557192
750,687.8666666666667,618.1904632788254
750,672.9333333333333,595.0188194969597
750,667.4666666666667,592.4257328044495
750,677.2,572.136487212623
750,690.7333333333333,619.1479055031107
750,667.9333333333333,604.5453351256812
750,707.4666666666667,627.6285384064544
750,665.0666666666667,591.8217599544272
750,655.2,560.2674599391496
750,663.2666666666667,579.36804268866
750,682.1333333333333,619.8500750629588
750,643.2,563.5545758841819
750,665.4,590.3779919113967
750,644.8,551.8208888156856
750,647.0666666666667,542.8425759114905
750,648.8666666666667,562.253248594933
750,705.1333333333333,587.7899133382797
750,696.0,649.2590648834511
750,651.1333333333333,583.8853045666493
750,672.8,589.8362710673756
750,631.2666666666667,587.332156639003
750,647.2666666666667,519.4829437901584
750,676.7333333333333,600.7400954008499
750,666.6666666666666,621.54288311874
750,682.8666666666667,620.3250080043167
750,705.1333333333333,640.9708643057725
750,674.4,587.8304517460796
750,670.1333333333333,600.0010962952947
750,683.4,602.2190409920075
750,656.0,562.0711698708625
750,701.3333333333334,621.8935242913818
750,673.6,589.5956580572825
750,646.4666666666667,551.4141053287951
750,667.4666666666667,582.3586371148128
750,685.9333333333333,572.6128379823684
750,658.0,564.8563239149108
750,692.4666666666667,590.9144739770347
750,665.2666666666667,592.2417261745597
750,665.3333333333334,573.3220929130694
750,647.4,605.4887061980044
750,667.8666666666667,588.371296225625
750,664.8,528.6280608014171
750,684.7333333333333,607.7419371922775
750,668.4666666666667,563.2071693041163
750,675.8,575.5093627967026
750,635.2666666666667,563.7076034809378
750,653.3333333333334,557.3528704709631
750,665.8666666666667,604.6499666933111
750,654.8666666666667,531.4693301488702
750,663.0666666666667,592.6234854910457
750,659.6666666666666,556.905038783294
750,656.9333333333333,563.381394399527
750,655.1333333333333,546.940260804495
750,686.8,624.3762967954501
750,676.7333333333333,585.441709784634
750,698.4,632.6590234873759
750,671.6,596.8026809591257
750,653.4,572.9267899711678
750,667.9333333333333,616.4644317035295
750,685.2,567.0928436625993
750,683.6666666666666,607.4618415084925
750,692.2,604.0274497073788
750,651.4666666666667,543.0572550129702
750,641.8,572.0513613304316
750,670.0666666666667,584.0724802815334
750,657.8,589.5330016207744
750,686.0666666666667,594.3196633312937
750,647.0,556.543798815511
750,678.3333333333334,580.7930402092949
750,666.0,553.4654460759045
750,650.8666666666667,540.0826315378869
750,614.4666666666667,508.2263756328364
750,656.1333333333333,539.2547779626581
750,712.2,633.3675815301359
750,660.7333333333333,583.193617553858
750,675.0666666666667,583.2538002924247
750,672.0,567.6524758453303
750,701.3333333333334,592.5297929687212
750,650.6,577.9299034773451
750,690.6666666666666,586.6681818162253
750,618.8,517.4229991022819
750,668.6666666666666,613.7411687529379
750,697.4666666666667,625.4760178367263
750,687.3333333333334,601.2427869745206
750,665.0,593.5809408440716
750,688.2,583.5501349498602
750,664.0,535.0613671969475
750,629.6666666666666,549.317657543328
750,677.6,603.0795193560023
750,676.6666666666666,560.7812011431513
750,649.4,546.0857441830907
750,604.6666666666666,525.1586003823564
750,653.6,533.0982148410053
750,640.7333333333333,514.8502651796496
750,682.9333333333333,604.6007461310498
750,669.2,613.8767737366624
750,642.6666666666666,581.2052611217104
750,665.8,608.194343939501
750,641.1333333333333,551.2997208617307
750,645.8,562.446169276077
750,683.0,584.5120472097502
750,672.7333333333333,599.2661030145307
750,631.8666666666667,549.531177964959
750,680.8,583.9503631873746
750,638.0666666666667,579.4027921537448
750,682.8,633.7172029646453
750,673.4,578.6038714008056
750,625.4666666666667,569.9281670136646
750,714.8666666666667,628.4974003305201
750,677.4,597.0029927339839
750,665.4666666666667,568.718543940869
750,697.6666666666666,625.3995167535354
750,687.4,606.9084829417583
750,674.2,590.1957528368589
750,687.5333333333333,595.4448607740453
750,663.3333333333334,576.5144307724559
750,634.7333333333333,540.7990343515376
750,680.1333333333333,587.4850201399938
750,671.4,539.2946380844767
750,648.2666666666667,588.277425105612
750,679.3333333333334,599.9940740448098
750,662.8666666666667,582.5728414160375
750,673.2666666666667,582.0727293235977
750,673.6,616.6385002576469
750,662.1333333333333,570.5080620717721
750,644.4,591.0346633940629
1000,685.85,584.7283792497163
1000,649.35,564.6521739088587
1000,666.9,567.075294824241
1000,681.65,621.9250577842961
1000,700.05,631.3814199831984
1000,696.3,608.9756234858667
1000,672.6,610.08543663982
1000,677.4,597.1300025957496
1000,678.85,575.7127560685102
1000,685.95,611.3305959135367
1000,685.9,587.9380834747822
1000,673.1,563.1708355374948
1000,699.1,622.7794071740009
1000,688.55,601.8773940762354
1000,682.85,586.8887266765311
1000,692.1,595.1828206526127
1000,648.35,579.0723421991419
1000,649.6,566.5640652212246
1000,648.0,581.92439371451
1000,655.3,551.8939300264136
1000,669.35,566.1696543439961
1000,669.8,580.1533935089926
1000,645.7,542.1821741813355
1000,680.75,630.4973731111019
1000,672.45,565.1137031607002
1000,686.95,626.6715228091987
1000,669.3,612.2152480949817
1000,649.55,552.4466467451857
1000,678.6,606.8336180535814
1000,645.05,532.1306207126216
1000,695.1,618.709131983681
1000,673.65,591.4162472404693
1000,676.1,609.2116134808988
1000,646.65,572.6310133934417
1000,688.7,585.8773847828571
1000,641.8,554.8628298958221
1000,690.05,602.2860595265342
1000,670.05,598.8618350671546
1000,665.5,574.2993557370581
1000,655.7,591.0435770736368
1000,678.1,579.7416579822429
1000,672.05,567.160733390456
1000,642.3,541.803202279204
1000,667.35,601.9895991626433
1000,686.95,607.8011167314519
1000,660.95,590.9886610587381
1000,654.05,612.4713034093922
1000,685.15,628.085963463601
1000,651.25,556.4853434727639
1000,701.55,625.3919550969615
1000,642.15,558.9685836431239
1000,646.35,583.5830510732812
1000,657.2,564.622139133775
1000,661.25,581.6536233017035
1000,646.35,570.4420895235553
1000,633.25,521.2407673043235
1000,641.45,547.416110011388
1000,672.6,554.1788880857877
1000,672.85,576.2337871905812
1000,656.6,587.2788434806757
1000,691.35,622.7701642660797
1000,663.6,558.1935506614171
1000,679.2,603.8355405240735
1000,640.1,542.3946810211177
1000,693.3,582.0310215100222
1000,656.15,570.1970514655437
1000,678.95,608.7317943889575
1000,675.4,566.0343099141606
1000,698.95,587.0361126029642
1000,677.95,630.2192455804567
1000,645.1,551.3855184895591
1000,695.45,633.4601783064189
1000,679.65,590.6846684145441
1000,722.95,626.7940630701603
1000,675.95,584.2294904401865
1000,667.95,568.4367137157839
1000,685.75,606.5059253626464
1000,687.9,593.016517476537
1000,652.05,546.624457466001
1000,685.5,584.371243303433
1000,628.9,565.3404195703682
1000,667.25,619.4957122531197
1000,669.8,592.1511293580381
1000,671.95,582.7097884024259
1000,665.0,592.3301444296078
1000,664.85,558.9427318607873
1000,717.15,624.9106956197821
1000,701.6,621.6690759560105
1000,671.95,639.6254353135123
1000,649.3,581.2181260077838
1000,664.75,571.2004354865287
1000,666.25,593.8884049213286
1000,659.0,550.9437357843358
1000,661.8,579.4745550928013
1000,655.8,564.9082757404072
1000,653.05,617.4165510415153
1000,663.55,585.5799667850669
1000,655.8,602.8029197009583
1000,668.4,587.8915206056301
1000,649.4,553.271759626316
1000,672.1,593.1286454050252
1000,694.45,647.6161652553155
1000,654.85,582.5280915973066
1000,693.3,585.0983763436709
1000,684.85,589.3835572019294
1000,678.15,587.7882930953967
1000,696.05,619.2793372138295
1000,673.75,577.7053206436652
1000,695.75,611.6816471825847
