,random5M,judy5M,karen5M,perfect5M
0,0.17805143860710224,0.17506751327630624,0.23595524034640045,0.41092580777019105
300,0.19756726461228752,0.1933932935163135,0.23203294781171957,0.3770064940596794
250,0.23620406928106585,0.19007358767448038,0.2237530490793145,0.34996929396513926
400,0.21884669901392914,0.23201944579991984,0.24040265452872162,0.3087312006574293
0,0.17398143030056987,0.1951444289264317,0.23401652593951272,0.3968576148334856
0,0.15659375166744408,0.18085339799371414,0.2315415613443287,0.4310112889945129
250,0.20052672268634736,0.1791545776441813,0.2233251783880058,0.39699352128146564
1250,0.20065497549777767,0.18173128467307448,0.22485604360957445,0.3927576962195734
0,0.16693116956765394,0.1756550909641234,0.2279913870682084,0.4294223524000142
300,0.18835037375316172,0.19388029966703313,0.22543221124475346,0.39233711533505156
250,0.22817853800310628,0.19049764424137458,0.21800551245493244,0.3633183053005868
350,0.20888021698039672,0.22135494070899475,0.24798016246302812,0.3217846798475805
300,0.22311929798295937,0.23175802779417767,0.24199964864829782,0.303123025574565
300,0.23492117571355278,0.24038049168619066,0.23704277728877204,0.2876555553114845
0,0.18021114524632031,0.19838477904750446,0.23271439475050237,0.38868968095567275
250,0.22109137228111655,0.19441988230532029,0.22434641334987615,0.3601423320636869
350,0.2034103868320841,0.2243820994989273,0.2528740300884191,0.3193334835805696
800,0.2040053055367557,0.23297052052382006,0.25327074101906777,0.3097534329203565
350,0.1902234674540864,0.25413524080194216,0.2751976451569546,0.280443646587017
300,0.20765589295561304,0.2589275546477363,0.2645585064025623,0.2688580459940884
250,0.24498865874388914,0.2471370020651865,0.25207440948095816,0.25579992970996623
0,0.18411283054980793,0.2010032862919819,0.23853995196623914,0.37634393119197096
0,0.16052020829390062,0.18312401693685168,0.23329462959353364,0.423061145175714
400,0.15893332896241177,0.2265179795973254,0.24795602504613887,0.36659266639412386
0,0.15076181178142056,0.19301231807353866,0.23694385888368547,0.41928201126135517
500,0.17763528942769788,0.19419258218935648,0.258389409029726,0.36978271935321955
400,0.172482085276586,0.23528015210362963,0.2678217241147524,0.324416038505032
0,0.15601267569966668,0.19640812610136982,0.24464287420518702,0.4029363239937763
1600,0.15621947897598465,0.19722072103240038,0.24451884303187676,0.4020409569597383
1150,0.15774626265192518,0.19887287857949157,0.24598606609744406,0.39739479267113914
350,0.15452102767361856,0.22781889415369483,0.2695753786445006,0.34808469952818605
500,0.1809257370548779,0.22465883338575868,0.28695182998328095,0.3074635995760826
600,0.18826394322502088,0.24707462895172352,0.28703092575722805,0.2776305020660276
250,0.22810327933751423,0.23681616531420166,0.2716420822655094,0.26343847308277474
0,0.17756884766201517,0.1970034129423402,0.24612346624650974,0.3793042731491348
300,0.1971672753625049,0.21157457963460324,0.2404607500546133,0.35079739494827855
800,0.1980720939723734,0.22079874922991663,0.24147364000503502,0.3396555167926751
1000,0.20099344705033517,0.2391015947462405,0.2421266723154592,0.3177782858879653
400,0.19097302803654992,0.2708313284426,0.2549477064562518,0.2832479370645984
0,0.16317889980918687,0.2101860983934992,0.23965350741473385,0.38698149438258006
300,0.185240353598514,0.22250087760477769,0.2350982085366003,0.35716056026010795
200,0.2453734919163578,0.2077050284793925,0.2188599168969451,0.3280615627073047
300,0.25336627590980915,0.22044447496460234,0.21786371054991133,0.30832553857567724
200,0.30628770729016347,0.20586631350763004,0.20344983675999645,0.28439614244221006
0,0.20786947320915797,0.18500869871486708,0.2196953430205808,0.38742648505539407
250,0.24517463197839717,0.18277277128633793,0.21301018202579491,0.35904241470946985
350,0.2219976959383321,0.2153929321093875,0.24412479770172427,0.31848457425055615
250,0.257476664751488,0.20922959053174642,0.23428192709076895,0.2990118176259966
500,0.27104296932950717,0.20838758646942226,0.25605941591337006,0.26451002828770054
800,0.2682806949091961,0.21776995424597348,0.2562980084490521,0.2576513423957783
300,0.27235261420107276,0.22878665823073507,0.24889378748291044,0.2499669400852817
500,0.28406391145470555,0.2255059188158815,0.26884920046812094,0.22158096926129203
600,0.2805133337602137,0.24783228357490056,0.2708394762810708,0.2008149063838148
3000,0.2803833421815362,0.24801222702551354,0.2709574423646602,0.20064698842828993
300,0.2823837365255367,0.25385257404195544,0.26104406927712054,0.20271962015538728
0,0.19860541275369922,0.2036059277275143,0.24201617235802073,0.3557724871607657
0,0.16613685495961833,0.184132678963762,0.23464184994378687,0.41508861613283277
1100,0.1679845017159867,0.1909576351194527,0.24254137187612432,0.3985164912884364
500,0.19271033721797406,0.19239411494385694,0.26328892102165646,0.35160662681651256
300,0.20971710272610522,0.2077542227315013,0.2546881147567208,0.3278405597856726
500,0.22923894901034067,0.2070961946960448,0.27392098431240186,0.2897438719812127
2500,0.22912504558316582,0.20731108239615206,0.2737818441705699,0.28978202785011226
350,0.20961072560684982,0.23433144704783235,0.2910279861979623,0.26502984114735567
200,0.26716405326057313,0.21828323176236675,0.2688690530185181,0.24568366195854185
350,0.23896899366035376,0.24279968325809856,0.28723632473413074,0.23099499834741705
250,0.272254281496379,0.233093791804506,0.2718209317212303,0.22283099497788483
0,0.19467971000351708,0.19556079516259256,0.24619277992608787,0.36356671490780246
1000,0.19785004791101785,0.2157159863299555,0.24649944983779742,0.33993451592122925
550,0.20098686215390457,0.22321040581661666,0.25060535597598604,0.3251973760534928
0,0.16705979330456333,0.19173045725773147,0.2379706155737054,0.4032391338639998
350,0.16170915234142044,0.2223064180793035,0.2633891040959854,0.3525953254832907
750,0.16459828113545594,0.23199774799934236,0.2636756545301765,0.33972831633502515
1250,0.1652810693662288,0.2337588502213647,0.2645837326994186,0.33637634771298797
1400,0.16564522078176655,0.2345540940762941,0.26468228201269306,0.3351184031292463
1050,0.1673742776472381,0.24314804371990595,0.27498962771985214,0.3144880509130039
0,0.15403312848807307,0.19945735270509557,0.24742081821249856,0.3990887005943327
500,0.18049867812465975,0.19983393121496404,0.26755990813170716,0.3521074825286691
0,0.15911953194219747,0.18267082963027154,0.24454140658212895,0.41366823184540197
200,0.22201778087228394,0.1720913290481876,0.22730347230210196,0.37858741777742655
200,0.2782577164500411,0.16263175837170346,0.21189031963262273,0.34722020554563277
400,0.25213749168739014,0.21029575923764648,0.23101180039033134,0.30655494868463207
0,0.18688338366111662,0.18672534459897977,0.2303770703309415,0.396014201408962
0,0.16159394502872815,0.17759055488881306,0.23013107866282145,0.4306844214196373
400,0.1597833277004854,0.22213754293585028,0.24545167345629695,0.3726274559073673
0,0.15109123151566112,0.1913146658109587,0.23597328940138204,0.421620813271998
750,0.15453681942947678,0.20263019725507075,0.2376966352650515,0.405136348050401
350,0.1520439994812374,0.2307187691918548,0.2631776478085066,0.3540595835184013
400,0.15222333519883852,0.2641952593657013,0.271612222090229,0.3119691833452312
